Note/Channel,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,anim periodocity,anim pulse toggle,,,,,,,,,,,,,,
1,anim periodocity,anim invert toggle,,,,,,,,,,,,,,
2,anim periodocity,,,,,,,,,,,,,,,
3,anim periodocity,,,,,,,,,,,,,,,
4,anim periodocity,,,,,,,,,,,,,,,
5,anim periodocity,,,,,,,,,,,,,,,
6,anim periodocity,,,,,,,,,,,,,,,
7,anim periodocity,,,,,,,,,,,,,,,
8,anim periodocity,,,,,,,,,,,,,,,
9,anim periodocity,,,,,,,,,,,,,,,
10,anim periodocity,,,,,,,,,,,,,,,
11,anim periodocity,,,,,,,,,,,,,,,
12,anim periodocity,,,,,,,,,,,,,,,
13,anim periodocity,,,,,,,,,,,,,,,
14,anim periodocity,,,,,,,,,,,,,,,
15,anim periodocity,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,
24,anim wave select,,,,,,,,,,,,,,,
25,anim wave select,,,,,,,,,,,,,,,
26,anim wave select,,,,,,,,,,,,,,,
27,anim wave select,,,,,,,,,,,,,,,
28,anim wave select,,,,,,,,,,,,,,,
29,anim wave select,,,,,,,,,,,,,,,
30,anim wave select,,,,,,,,,,,,,,,
31,anim wave select,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,
35,anim target,,,,,,,,,,,,,,,
36,anim target,,,,,,,,,,,,,,,
37,anim target,,,,,,,,,,,,,,,
38,anim target,,,,,,,,,,,,,,,
39,anim target,,,,,,,,,,,,,,,
40,anim target,,,,,,,,,,,,,,,
41,anim target,,,,,,,,,,,,,,,
42,anim target,,,,,,,,,,,,,,,
43,anim target,,,,,,,,,,,,,,,
44,anim target,,,,,,,,,,,,,,,
45,anim target,,,,,,,,,,,,,,,
46,anim target,,,,,,,,,,,,,,,
47,anim target,,,,,,,,,,,,,,,
48,look indicator,look indicator,look indicator,look indicator,look indicator,look indicator,look indicator,look indicator,,,,,,,,
49,mask toggle,mask toggle,mask toggle,mask toggle,mask toggle,mask toggle,mask toggle,mask toggle,,,,,,,,
50,bump,bump,bump,bump,bump,bump,bump,bump,,,,,,,,
51,beam select,beam select,beam select,beam select,beam select,beam select,beam select,beam select,,,,,,,,
52,apc40 clip stop,apc40 clip stop,apc40 clip stop,apc40 clip stop,apc40 clip stop,apc40 clip stop,apc40 clip stop,apc40 clip stop,,,,,,,,
53,beam save slot,beam save slot,beam save slot,beam save slot,beam save slot,beam save slot,beam save slot,beam save slot,,,,,,,,
54,beam save slot,beam save slot,beam save slot,beam save slot,beam save slot,beam save slot,beam save slot,beam save slot,,,,,,,,
55,beam save slot,beam save slot,beam save slot,beam save slot,beam save slot,beam save slot,beam save slot,beam save slot,,,,,,,,
56,beam save slot,beam save slot,beam save slot,beam save slot,beam save slot,beam save slot,beam save slot,beam save slot,,,,,,,,
57,beam save slot,beam save slot,beam save slot,beam save slot,beam save slot,beam save slot,beam save slot,beam save slot,,,,,,,,
58,apc40 bottom button,,,,,,,,,,,,,,,
59,apc40 bottom button,,,,,,,,,,,,,,,
60,apc40 bottom button,,,,,,,,,,,,,,,
61,apc40 bottom button,,,,,,,,,,,,,,,
62,apc40 bottom button,,,,,,,,,,,,,,,
63,apc40 bottom button,,,,,,,,,,,,,,,
64,apc40 bottom button,,,,,,,,,,,,,,,
